arg_id,comment_id,argument,cluster_l1,cluster_l2,is_centroid,micro_cluster_id,micro_cluster_size,centroid_arg_id,source,url,original_count,duplicate_group_id
A13_1,13,廃炉方法が確定していないため、原子力発電のライフサイクルの総CO2の算定ができない。,1_6,2_49,true,522,1,A13_1,dhtool2025/full-complete-compressed,,1,group-13
A13_2,13,エネルギー基本計画はエネルギー需要と気候変動対策のバランスを取るべきであり、原子力のライフサイクルの総CO2を議論から外すべきではない。,1_7,2_11,true,1253,2,A13_2,dhtool2025/full-complete-compressed,,1,group-13
A13_3,13,原発の新増設を行わないという方針を加え、基本計画を再検討すべき。,1_8,2_7,true,482,1,A13_3,dhtool2025/full-complete-compressed,,1,group-13
A13_4,13,経済成長の犠牲を許容し、地球温暖化対策を優先する必要がある。,1_1,2_8,true,610,1,A13_4,dhtool2025/full-complete-compressed,,1,group-13
A14_0,14,福島第一原発事故を踏まえ、原発以外のエネルギー政策に全力を尽くしてシフトすべきである。,1_6,2_29,true,128,2,A14_0,dhtool2025/full-complete-compressed,,1,group-14
A14_1,14,福島第一原発付近は今も帰宅困難であり、処理水の海洋放出や汚染土の全国ばら撒きは安全性が担保されていない。,1_6,2_19,true,140,1,A14_1,dhtool2025/full-complete-compressed,,1,group-14
A14_2,14,デブリの取り出しが進んでおらず、廃炉まで何百年かかるのか不明である。,1_6,2_34,true,313,1,A14_2,dhtool2025/full-complete-compressed,,1,group-14
A14_3,14,事故後に進展がないのに、なぜ原発に頼り続けようとしているのか疑問である。,1_6,2_57,true,154,1,A14_3,dhtool2025/full-complete-compressed,,1,group-14
A14_4,14,地震大国である日本で、今後30年以内に南海トラフ地震が予測されている中、故郷を失う国民や住めない土地を増やさないようにすべきである。,1_6,2_50,true,1,1,A14_4,dhtool2025/full-complete-compressed,,1,group-14
A14_5,14,必要な努力をせずに原発の増設を進めることは許されない。,1_5,2_30,true,530,1,A14_5,dhtool2025/full-complete-compressed,,1,group-14
A15_0,15,福島第一原発事故により、国が原子力を2割とする基本計画を立てることは信じられない。,1_6,2_29,true,1250,1,A15_0,dhtool2025/full-complete-compressed,,1,group-15
A15_1,15,国民の暮らし、財産、国土を守るために、原子力関係では廃炉と核ゴミの処理に力を注ぐべき。,1_5,2_52,true,326,1,A15_1,dhtool2025/full-complete-compressed,,1,group-15
A15_2,15,第7次エネルギー基本計画は、原子力をゼロにし、再生可能エネルギーと省エネの強化を掲げるべき。,1_7,2_11,false,1070,4,A195_5,dhtool2025/full-complete-compressed,,1,group-15
A16_0,16,基本的人権を尊重し、「カネより命」を大切にする憲法を守るべきである。,1_8,2_28,true,626,1,A16_0,dhtool2025/full-complete-compressed,,1,group-16
A16_1,16,「命よりカネ」を大切にする原発再稼働を認めない。,1_8,2_46,true,627,1,A16_1,dhtool2025/full-complete-compressed,,1,group-16
A16_2,16,原発再稼働を推進する「エネルギー基本計画」は軽蔑の対象である。,1_7,2_11,true,1263,2,A16_2,dhtool2025/full-complete-compressed,,1,group-16
A17_0,17,トランプ政権に学ぶべきである。,1_8,2_28,true,760,1,A17_0,dhtool2025/full-complete-compressed,,1,group-17
A17_1,17,日本の優秀な火力発電を採用できるよう、銀行の融資基準を見直すべきである。,1_8,2_55,true,1212,1,A17_1,dhtool2025/full-complete-compressed,,1,group-17
A17_2,17,G7での計画は日本だけが間抜けであり、海外から笑われていることを理解すべきである。,1_2,2_42,true,854,1,A17_2,dhtool2025/full-complete-compressed,,1,group-17
A17_3,17,私たちの税金を利権に使うべきではない。,1_8,2_28,true,621,1,A17_3,dhtool2025/full-complete-compressed,,1,group-17
A17_4,17,国民はすでに気づいているが、気づいていないのは政治家たちである。,1_8,2_2,true,645,1,A17_4,dhtool2025/full-complete-compressed,,1,group-17
A18_0,18,再エネを増やすべき,1_1,2_25,true,1293,2,A18_0,dhtool2025/full-complete-compressed,,1,group-18
A18_1,18,福島原発事故を忘れないべき,1_6,2_1,true,113,2,A18_1,dhtool2025/full-complete-compressed,,1,group-18
A18_2,18,原発は最大限の努力で廃炉すべき,1_8,2_15,true,398,1,A18_2,dhtool2025/full-complete-compressed,,1,group-18
A19_0,19,原発の新規建設は不要であり、既存の原発もすべて廃炉にすべきである。,1_8,2_41,true,399,1,A19_0,dhtool2025/full-complete-compressed,,1,group-19
A19_1,19,クリーンなエネルギーという主張は嘘であり、原発は核廃棄物を生み出し続け、事故が起これば周辺が汚染される。,1_5,2_36,true,515,1,A19_1,dhtool2025/full-complete-compressed,,1,group-19
A19_2,19,福島の悲劇が続いている中で、避難住民への補償が蔑ろにされているのに原発を増やすことは許されない。,1_6,2_19,true,110,1,A19_2,dhtool2025/full-complete-compressed,,1,group-19
A20_0,20,再エネを最大限増やすべきである。,1_1,2_25,false,1293,2,A18_0,dhtool2025/full-complete-compressed,,1,group-20
A20_1,20,再エネの増加はエネルギー自給率を向上させ、電気を国産できるため重要である。,1_4,2_14,true,1333,2,A20_1,dhtool2025/full-complete-compressed,,1,group-20
A20_2,20,再エネは自宅や事業所で生産可能である。,1_1,2_25,true,705,1,A20_2,dhtool2025/full-complete-compressed,,1,group-20
A21_0,21,原発を廃絶すべきである,1_8,2_15,true,388,4,A21_0,dhtool2025/full-complete-compressed,,1,group-21
A22_0,22,原発の新増設には絶対反対である,1_8,2_40,false,226,9,A442_1,dhtool2025/full-complete-compressed,,1,group-22
A22_1,22,東電はきちんと責任をとるべきである,1_6,2_27,true,212,1,A22_1,dhtool2025/full-complete-compressed,,1,group-22
A22_2,22,中抜きには反対である,1_8,2_28,true,237,1,A22_2,dhtool2025/full-complete-compressed,,1,group-22
A23_0,23,気候変動は命の問題であり、国民がその影響を知る機会が少ないことが問題である。,1_1,2_63,true,830,1,A23_0,dhtool2025/full-complete-compressed,,1,group-23
A23_1,23,化石燃料の燃焼による大気汚染が健康に与える影響について、国民にもっと知識を提供すべきである。,1_2,2_17,true,927,1,A23_1,dhtool2025/full-complete-compressed,,1,group-23
A23_2,23,再生可能エネルギーへの切り替えの重要性を国民に理解させる必要がある。,1_4,2_14,true,1077,1,A23_2,dhtool2025/full-complete-compressed,,1,group-23
A23_3,23,気候変動による健康被害や超過死亡についての情報を広めるべきである。,1_1,2_63,true,831,1,A23_3,dhtool2025/full-complete-compressed,,1,group-23
A23_4,23,温室効果ガス削減目標を設定し、再生可能エネルギーの割合を大幅に増加させるべきである。,1_1,2_12,true,799,2,A23_4,dhtool2025/full-complete-compressed,,1,group-23
A23_5,23,石炭火力発電所の段階的廃止を進め、再生可能エネルギーの拡大に予算を集中させるべきである。,1_2,2_3,true,991,2,A23_5,dhtool2025/full-complete-compressed,,1,group-23
A24_0,24,2035年までに温室効果ガス60%削減という目標は不十分であり、世界で必要な削減の平均値にも足りない。,1_1,2_12,false,797,3,A129_2,dhtool2025/full-complete-compressed,,1,group-24
A24_1,24,原発の「最大限活用」方針は危険であり、原発稼働中の放射能排出やCO2排出の問題を考慮すべきである。特に「浮体式洋上発電」の研究を進めるべき。,1_5,2_62,true,498,1,A24_1,dhtool2025/full-complete-compressed,,1,group-24
A24_2,24,「エネルギー基本計画」の決定プロセスに市民や若い世代、環境団体が参加できる民主的な議論を行うべき。,1_7,2_16,true,1277,1,A24_2,dhtool2025/full-complete-compressed,,1,group-24
A25_0,25,火力発電に水素やアンモニアを混ぜてCO2を改修するのは止めてほしい。,1_3,2_4,true,919,1,A25_0,dhtool2025/full-complete-compressed,,1,group-25
A25_1,25,リソースは再エネ（特に洋上風力、地熱発電）に回して、再エネを増やしてほしい。,1_4,2_20,true,1337,1,A25_1,dhtool2025/full-complete-compressed,,1,group-25
A25_2,25,水素やアンモニア生成時にCO2が発生しており、混合発電はCO2削減に貢献していない。,1_2,2_21,true,920,1,A25_2,dhtool2025/full-complete-compressed,,1,group-25
A25_3,25,再エネで生成した水素やアンモニアを混ぜて発電するよりも、元の再エネを電気として供給した方が良い。,1_3,2_4,true,1042,1,A25_3,dhtool2025/full-complete-compressed,,1,group-25
A25_4,25,水素等は高温が必要なエネルギーのために使うべきで、発電に使うのはもったいない。,1_3,2_58,true,1029,1,A25_4,dhtool2025/full-complete-compressed,,1,group-25
A25_5,25,水素等の混合発電のための研究費、設備費、補助金、人材は再エネ発電に活用してほしい。,1_3,2_58,true,1049,1,A25_5,dhtool2025/full-complete-compressed,,1,group-25
A26_0,26,再生可能エネルギーをもっと増やすべきです。,1_4,2_32,false,1098,5,A38_0,dhtool2025/full-complete-compressed,,1,group-26
A27_0,27,再生エネルギーによる自然破壊のニュースが目立っているため、地域の人のメリットになる形の政策を強化する必要がある。,1_4,2_14,true,676,1,A27_0,dhtool2025/full-complete-compressed,,1,group-27
A27_1,27,系統蓄電池の普及想定が低いため、VREの統合費用が過大に見積もられている可能性がある。,1_4,2_9,true,1181,1,A27_1,dhtool2025/full-complete-compressed,,1,group-27
A27_2,27,SNS上で「再エネは統合費用が高い」という意見が広がっているが、これは正確ではない可能性がある。,1_4,2_0,true,1183,1,A27_2,dhtool2025/full-complete-compressed,,1,group-27
A28_0,28,再生可能エネルギーを増やすべき,1_4,2_32,false,1098,5,A38_0,dhtool2025/full-complete-compressed,,1,group-28
A28_1,28,原発はゼロにすべき,1_8,2_61,true,1148,1,A28_1,dhtool2025/full-complete-compressed,,1,group-28
A29_0,29,原発推進には反対である。,1_8,2_7,false,224,3,A409_0,dhtool2025/full-complete-compressed,,1,group-29
A29_1,29,原発はコスト、リスク、スピードの面であり得ない。,1_5,2_10,true,306,2,A29_1,dhtool2025/full-complete-compressed,,1,group-29
A29_2,29,福島原発事故の損害が未だに支払い切れておらず、被災者や避難者が多く残っている。,1_6,2_19,true,108,1,A29_2,dhtool2025/full-complete-compressed,,1,group-29
A29_3,29,日本海側の原発は外国との緊張関係においてリスクが高い。,1_6,2_50,true,51,1,A29_3,dhtool2025/full-complete-compressed,,1,group-29
A29_4,29,原発建設のコストが電気料金に影響を与える可能性がある。,1_5,2_38,true,261,1,A29_4,dhtool2025/full-complete-compressed,,1,group-29
A29_5,29,原発の建設や運営に伴うCO2排出が大きい。,1_2,2_59,true,917,2,A29_5,dhtool2025/full-complete-compressed,,1,group-29
A29_6,29,ウランの輸入により国益が損なわれている。,1_5,2_36,true,717,1,A29_6,dhtool2025/full-complete-compressed,,1,group-29
A29_7,29,ウラン資源が乏しく、再処理工場や最終処分場が未決定で持続可能性がない。,1_5,2_33,true,718,1,A29_7,dhtool2025/full-complete-compressed,,1,group-29
A29_8,29,事故を起こした原発の放射性廃棄物を海に捨てることは危険である。,1_6,2_6,true,168,1,A29_8,dhtool2025/full-complete-compressed,,1,group-29
A29_9,29,地震大国で新増設する土地が見つからない。,1_6,2_50,true,2,1,A29_9,dhtool2025/full-complete-compressed,,1,group-29
A29_10,29,衰退産業に国が力を注ぐことは許されない。,1_7,2_48,true,604,1,A29_10,dhtool2025/full-complete-compressed,,1,group-29
A29_11,29,再生可能エネルギーは環境面だけでなくコスト面でも原発より優れている。,1_4,2_20,true,1104,1,A29_11,dhtool2025/full-complete-compressed,,1,group-29
A29_12,29,再生可能エネルギーの市場は毎年何百兆円もあり、原発に固執することは遅れを取ることになる。,1_4,2_20,true,1102,1,A29_12,dhtool2025/full-complete-compressed,,1,group-29
A29_13,29,後世に責任を持つために国産国生の再生可能エネルギーに舵を切るべきである。,1_4,2_14,true,1076,1,A29_13,dhtool2025/full-complete-compressed,,1,group-29
A29_14,29,経済界に忖度するべきではなく、原発推進には反対である。,1_8,2_7,true,445,1,A29_14,dhtool2025/full-complete-compressed,,1,group-29
A30_0,30,原発を止めるためには、利権構造を改革する必要がある。,1_8,2_15,true,466,1,A30_0,dhtool2025/full-complete-compressed,,4,group-30
A30_1,30,原発は人間が管理できない代物である。,1_5,2_52,true,460,2,A30_1,dhtool2025/full-complete-compressed,,4,group-30
A31_0,31,原発を推進することはコスト、リスク、スピード面で劣るため反対である。,1_8,2_7,false,306,2,A29_1,dhtool2025/full-complete-compressed,,1,group-31
A31_1,31,再エネはコストが安く、安定的かつ環境面や国益において優れているため、再エネシフトを進めるべきである。,1_1,2_25,true,1295,1,A31_1,dhtool2025/full-complete-compressed,,1,group-31
A31_2,31,原発の新増設や再稼働はリスクしかないため、あり得ない。,1_8,2_23,true,373,2,A31_2,dhtool2025/full-complete-compressed,,1,group-31
A31_3,31,国民の命を守るために、原発推進を支持する経済界の意見に国が力を貸すべきではない。,1_8,2_28,true,446,1,A31_3,dhtool2025/full-complete-compressed,,1,group-31
A32_0,32,気候危機・エネルギー・脱炭素政策の策定において、ELSIの論点を加えた「S+4E」原則への切り替えが必要である。,1_1,2_63,true,1304,1,A32_0,dhtool2025/full-complete-compressed,,1,group-32
A32_1,32,審議会参加者の多様性を確保し、経済的側面以外の価値を取り込む必要がある。,1_7,2_16,true,563,1,A32_1,dhtool2025/full-complete-compressed,,1,group-32
A32_2,32,日本は化石燃料からの転換を進め、再生可能エネルギーの設備容量を2030年に3倍にするべきである。,1_2,2_42,true,976,1,A32_2,dhtool2025/full-complete-compressed,,1,group-32
A32_3,32,日本は国際合意に沿った野心的な温室効果ガス排出削減の国際公約を策定し、1.5℃目標との整合性を明示する必要がある。,1_1,2_12,true,847,1,A32_3,dhtool2025/full-complete-compressed,,1,group-32
A32_4,32,化石燃料・原子力から脱却し、再生可能エネルギー100%転換を目指すエネルギー政策を打ち出すべきである。,1_1,2_25,true,1373,2,A32_4,dhtool2025/full-complete-compressed,,1,group-32
A32_5,32,日本はエネルギー、電力の脱炭素化を加速し、国際競争力を強化する必要がある。,1_2,2_17,true,935,1,A32_5,dhtool2025/full-complete-compressed,,1,group-32
A32_6,32,再生可能エネルギーのポテンシャルを生かすために、技術力・資金・能力を活用することが可能である。,1_4,2_32,true,1107,1,A32_6,dhtool2025/full-complete-compressed,,1,group-32
A33_0,33,第7次エネルギー基本計画（案）に反対する。,1_7,2_47,false,1057,10,A102_0,dhtool2025/full-complete-compressed,,1,group-33
A33_1,33,福島原発事故以降掲げられていた「可能な限り原発依存度を低減」を削除しないでほしい。,1_4,2_13,true,408,1,A33_1,dhtool2025/full-complete-compressed,,1,group-33
A33_2,33,「原子力の最大限活用」に反対する。,1_5,2_30,true,496,1,A33_2,dhtool2025/full-complete-compressed,,1,group-33
A33_3,33,「可能な限り原発依存度を低減」を徹底し、原発ゼロを早く達成すべきである。,1_4,2_13,true,413,2,A33_3,dhtool2025/full-complete-compressed,,1,group-33
A33_4,33,既存原発の最大限活用、六ヶ所再処理の推進、使用済核燃料の中間貯蔵・乾式貯蔵の推進、次世代革新炉によるリプレースの推進に反対する。,1_8,2_46,true,228,2,A33_4,dhtool2025/full-complete-compressed,,1,group-33
A33_5,33,これらの方策は原発の重大事故の危険を高め、住民に危険を押しつけるものである。,1_6,2_27,true,173,1,A33_5,dhtool2025/full-complete-compressed,,1,group-33
A33_6,33,核のごみを増やし続け、貯蔵施設を核のゴミ捨てとし、危険な負の遺産を子孫に押しつけるものである。,1_6,2_49,true,315,1,A33_6,dhtool2025/full-complete-compressed,,1,group-33
A33_7,33,次世代革新炉の巨額で長期にわたる建設資金を回収するため、住民への負担を前提とする資金回収策に反対する。,1_8,2_40,true,744,1,A33_7,dhtool2025/full-complete-compressed,,1,group-33
A33_8,33,資金回収策を具体的に示さず、計画を決めた後に具体化して進めるやり方はしないでほしい。,1_8,2_35,true,732,1,A33_8,dhtool2025/full-complete-compressed,,1,group-33
A34_0,34,災害大国で原発稼働は諸刃の剣である,1_6,2_50,true,30,1,A34_0,dhtool2025/full-complete-compressed,,3,group-34
A34_1,34,福島の原発は向こう100年経っても燃料棒を取り出せない状況である,1_6,2_19,true,150,1,A34_1,dhtool2025/full-complete-compressed,,3,group-34
A34_2,34,人類は原発を管理できない,1_5,2_52,false,460,2,A30_1,dhtool2025/full-complete-compressed,,3,group-34
A35_0,35,原発を維持・新設する方針に反対する。,1_8,2_40,true,220,2,A35_0,dhtool2025/full-complete-compressed,,1,group-35
A35_1,35,日本は資源に乏しいという根拠は不明であり、太陽光発電と蓄電池で十分なエネルギーが得られる。,1_4,2_20,true,1238,1,A35_1,dhtool2025/full-complete-compressed,,1,group-35
A35_2,35,放射性廃棄物を10万年保管できる場所が国内に見つかっておらず、他国が引き取る見込みもないため、原発を維持・新設することは人道に反する。,1_6,2_6,true,348,1,A35_2,dhtool2025/full-complete-compressed,,1,group-35
A35_3,35,地震国日本において、原発の耐震性が一般住宅よりも弱い現状で原発を維持することは危険であり、人道に反する。,1_6,2_50,true,23,1,A35_3,dhtool2025/full-complete-compressed,,1,group-35
A35_4,35,原発は高価な発電方式であり、放射性廃棄物管理コストを考慮すれば、住人に電気料金や税金、放射線被害を押し付ける人道に反する計画である。,1_5,2_24,true,283,1,A35_4,dhtool2025/full-complete-compressed,,1,group-35
A36_0,36,今が地球温暖化の転換点であるため、もっと思い切った政策が必要である。,1_1,2_8,true,832,1,A36_0,dhtool2025/full-complete-compressed,,1,group-36
A36_1,36,再エネの導入や技術向上に力を入れ、高い目標を設定すべきである。,1_1,2_25,true,1286,1,A36_1,dhtool2025/full-complete-compressed,,1,group-36
A36_2,36,最初から低い目標では改革は進まない。,1_1,2_51,true,773,1,A36_2,dhtool2025/full-complete-compressed,,1,group-36
A37_0,37,福島原発事故解決への目処が全く立たない今、原発は人間にとって制御できない物であることを考えるべきである。,1_6,2_1,true,148,1,A37_0,dhtool2025/full-complete-compressed,,1,group-37
A37_1,37,福島原発の廃炉費用の総額が判明しない今、原発は今すぐやめるべきである。,1_5,2_24,false,271,3,A474_1,dhtool2025/full-complete-compressed,,1,group-37
A37_2,37,再生可能エネルギーの低価格化が進む現在、日本も再生可能エネルギーへ大きくシフトするべきである。,1_4,2_32,true,1079,1,A37_2,dhtool2025/full-complete-compressed,,1,group-37
A38_0,38,再生可能エネルギーをもっと増やすべき,1_4,2_32,true,1098,5,A38_0,dhtool2025/full-complete-compressed,,1,group-38
A38_1,38,再生可能エネルギーが足りない,1_4,2_32,true,1092,2,A38_1,dhtool2025/full-complete-compressed,,1,group-38
A39_0,39,原子力発電の推進に反対である。,1_5,2_30,false,223,4,A71_0,dhtool2025/full-complete-compressed,,1,group-39
A39_1,39,福島第一原発事故では多くの人が住まいを失い、帰れない人が多数いる。,1_6,2_19,true,106,2,A39_1,dhtool2025/full-complete-compressed,,1,group-39
A39_2,39,原発の「想定外」の事故が過去に起きており、地震のたびに原発の安全性を心配しなければならない。,1_6,2_57,true,81,1,A39_2,dhtool2025/full-complete-compressed,,1,group-39
A39_3,39,避難計画は役に立たないことが明らかになった。,1_6,2_27,true,194,1,A39_3,dhtool2025/full-complete-compressed,,1,group-39
A39_4,39,原発を稼働すれば大量の放射性廃棄物が出るが、その安全な処理方法は確立されていない。,1_6,2_6,true,352,2,A39_4,dhtool2025/full-complete-compressed,,1,group-39
A39_5,39,再生可能エネルギーの導入をもっと抜本的に強化すべきである。,1_4,2_32,false,1088,2,A259_0,dhtool2025/full-complete-compressed,,1,group-39
A39_6,39,温暖化対策の面からも再生可能エネルギーの導入を強化すべきである。,1_1,2_25,true,1390,1,A39_6,dhtool2025/full-complete-compressed,,1,group-39
A40_0,40,原発推進の政策に戻ることに不安を感じており、絶対にやめてほしい。,1_8,2_7,true,439,1,A40_0,dhtool2025/full-complete-compressed,,1,group-40
A40_1,40,すべての原発を停止・廃炉にすべきである。,1_8,2_15,false,393,3,A417_0,dhtool2025/full-complete-compressed,,1,group-40
