item_id	item_label	qid_a	label_a	surface_a	qid_b	label_b	surface_b	relation_type	property_id	property_label	direction	via_qid	via_label
2_29	福島第一原発事故を教訓とした脱原発と再生可能エネルギー推進	Q171178	福島第一原子力発電所事故	福島第一原発事故	Q1189820	原子力撤廃	脱原発	none					
2_29	福島第一原発事故を教訓とした脱原発と再生可能エネルギー推進	Q171178	福島第一原子力発電所事故	福島第一原発事故	Q12705	再生可能エネルギー	再生可能エネルギー	none					
2_29	福島第一原発事故を教訓とした脱原発と再生可能エネルギー推進	Q1189820	原子力撤廃	脱原発	Q12705	再生可能エネルギー	再生可能エネルギー	none					
2_3	石炭火力発電の全廃と再生可能エネルギーへの移行	Q104696754	石炭火力発電の段階的廃止	石炭火力発電	Q12705	再生可能エネルギー	再生可能エネルギー	none					
2_31	原発事故による環境汚染と健康リスクの深刻な影響	Q13065634	環境汚染	環境汚染	Q87075524	健康リスク	健康リスク	none					
2_32	再生可能エネルギーの推進とエネルギー自給率向上	Q12705	再生可能エネルギー	再生可能エネルギー	Q11290480	エネルギー自給率	エネルギー自給率	none					
2_33	原子力発電の持続可能性と核燃料サイクルの限界	Q17232373	原子力発電	原子力発電	Q877079	核燃料サイクル	核燃料サイクル	none					
2_39	再生可能エネルギーへの転換と核融合技術の推進	Q12705	再生可能エネルギー	再生可能エネルギー	Q11536219	核融合炉	核融合技術	none					
2_4	水素エネルギーの持続可能な利用と再生可能エネルギーの優先	Q478859	水素エネルギー社会	水素エネルギーの持続可能な利用	Q12705	再生可能エネルギー	再生可能エネルギー	none					
2_40	原発新設・増設に対する強い反対意見と代替エネルギーの必要性	Q17232373	原子力発電	原発	Q12705	再生可能エネルギー	代替エネルギー	none					
2_41	原発の安全性と立地に関する懸念と廃止の必要性	Q134447	原子力発電所	原発	Q1088669	安全性	安全性	none					
2_42	日本の石炭火力全廃に向けた国際的責任と具体的計画の必要性	Q6558431	石炭火力発電所	石炭火力発電所	Q11982303	coal power	石炭火力発電	none					
2_42	日本の石炭火力全廃に向けた国際的責任と具体的計画の必要性	Q6558431	石炭火力発電所	石炭火力発電所	Q104696754	石炭火力発電の段階的廃止	石炭火力全廃	none					
2_42	日本の石炭火力全廃に向けた国際的責任と具体的計画の必要性	Q11982303	coal power	石炭火力発電	Q104696754	石炭火力発電の段階的廃止	石炭火力全廃	none					
2_43	脱炭素化の緊急性と再生可能エネルギーの推進	Q11693783	脱炭素化	脱炭素化	Q12705	再生可能エネルギー	再生可能エネルギー	none					
2_44	脱原発と再生可能エネルギーへの転換の必要性	Q1189820	原子力撤廃	脱原発	Q12705	再生可能エネルギー	再生可能エネルギー	none					
2_45	国民参加と透明性の確保による政府の責任	Q7188	政府	政府	Q541936	住民参加	国民参加	none					
2_45	国民参加と透明性の確保による政府の責任	Q7188	政府	政府	Q535347	透明性	透明性	none					
2_45	国民参加と透明性の確保による政府の責任	Q7188	政府	政府	Q1274115	責任	責任	none					
2_45	国民参加と透明性の確保による政府の責任	Q541936	住民参加	国民参加	Q535347	透明性	透明性	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q137210792	Concepts related to procedural justice
2_45	国民参加と透明性の確保による政府の責任	Q541936	住民参加	国民参加	Q1274115	責任	責任	none					
2_45	国民参加と透明性の確保による政府の責任	Q535347	透明性	透明性	Q1274115	責任	責任	none					
2_48	経産省のエネルギー政策に対する強い反対意見と再検討要求	Q1197264	経済産業省	経産省	Q1805337	エネルギー政策	エネルギー政策	none					
2_49	核廃棄物処理の不透明性と原発依存の危険性	Q185252	放射性廃棄物	核廃棄物	Q17232373	原子力発電	原発	none					
2_50	地震大国日本における原発リスクとエネルギー政策の再考	Q134447	原子力発電所	原発	Q7944	地震	地震	none					
2_50	地震大国日本における原発リスクとエネルギー政策の再考	Q134447	原子力発電所	原発	Q1805337	エネルギー政策	エネルギー政策	none					
2_50	地震大国日本における原発リスクとエネルギー政策の再考	Q7944	地震	地震	Q1805337	エネルギー政策	エネルギー政策	none					
2_51	再生可能エネルギーの推進とカーボンニュートラルの実現に向けた強い要望	Q12705	再生可能エネルギー	再生可能エネルギー	Q1774424	カーボンニュートラル	カーボンニュートラル	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q80877	原子炉	原子炉	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q194523	核燃料	核燃料	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q17232373	原子力発電	原子力発電	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q134447	原子力発電所	原子力発電所	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q1620824	原子力事故	原発事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q185252	放射性廃棄物	放射性廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q185252	放射性廃棄物	核廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q11448	放射能	放射能	Q186161	放射線	放射線	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q1293220	物理現象
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q194523	核燃料	核燃料	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q17232373	原子力発電	原子力発電	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q134447	原子力発電所	原子力発電所	direct	P361	part of	a_to_b		
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q134447	原子力発電所	原子力発電所	direct	P527	has part	b_to_a		
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q134447	原子力発電所	原子力発電所	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q1739545	原子力施設
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q1620824	原子力事故	原発事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q185252	放射性廃棄物	放射性廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q185252	放射性廃棄物	核廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q80877	原子炉	原子炉	Q186161	放射線	放射線	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q194523	核燃料	核燃料	Q17232373	原子力発電	原子力発電	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q194523	核燃料	核燃料	Q134447	原子力発電所	原子力発電所	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q194523	核燃料	核燃料	Q1620824	原子力事故	原発事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q194523	核燃料	核燃料	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q194523	核燃料	核燃料	Q185252	放射性廃棄物	放射性廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q194523	核燃料	核燃料	Q185252	放射性廃棄物	核廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q194523	核燃料	核燃料	Q186161	放射線	放射線	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q17232373	原子力発電	原子力発電	Q134447	原子力発電所	原子力発電所	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q17232373	原子力発電	原子力発電	Q1620824	原子力事故	原発事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q17232373	原子力発電	原子力発電	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q17232373	原子力発電	原子力発電	Q185252	放射性廃棄物	放射性廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q17232373	原子力発電	原子力発電	Q185252	放射性廃棄物	核廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q17232373	原子力発電	原子力発電	Q186161	放射線	放射線	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q134447	原子力発電所	原子力発電所	Q1620824	原子力事故	原発事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q134447	原子力発電所	原子力発電所	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q134447	原子力発電所	原子力発電所	Q185252	放射性廃棄物	放射性廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q134447	原子力発電所	原子力発電所	Q185252	放射性廃棄物	核廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q134447	原子力発電所	原子力発電所	Q186161	放射線	放射線	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q1620824	原子力事故	原発事故	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q1620824	原子力事故	原発事故	Q185252	放射性廃棄物	放射性廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q1620824	原子力事故	原発事故	Q185252	放射性廃棄物	核廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q1620824	原子力事故	原発事故	Q186161	放射線	放射線	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	Q185252	放射性廃棄物	放射性廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	Q185252	放射性廃棄物	核廃棄物	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q171178	福島第一原子力発電所事故	福島第一原子力発電所事故	Q186161	放射線	放射線	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q185252	放射性廃棄物	放射性廃棄物	Q185252	放射性廃棄物	核廃棄物	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q3042630	toxic waste
2_52	原子力発電の安全性とリスクに関する懸念	Q185252	放射性廃棄物	放射性廃棄物	Q185252	放射性廃棄物	核廃棄物	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q1128255	副産物
2_52	原子力発電の安全性とリスクに関する懸念	Q185252	放射性廃棄物	放射性廃棄物	Q185252	放射性廃棄物	核廃棄物	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q2144359	環境問題
2_52	原子力発電の安全性とリスクに関する懸念	Q185252	放射性廃棄物	放射性廃棄物	Q185252	放射性廃棄物	核廃棄物	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q1069369	有害廃棄物
2_52	原子力発電の安全性とリスクに関する懸念	Q185252	放射性廃棄物	放射性廃棄物	Q185252	放射性廃棄物	核廃棄物	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q11996855	放射性物質
2_52	原子力発電の安全性とリスクに関する懸念	Q185252	放射性廃棄物	放射性廃棄物	Q185252	放射性廃棄物	核廃棄物	shared_ancestor	P279/P31	共通上位クラス/インスタンス	symmetric	Q574376	環境に及ぼす人類の影響
2_52	原子力発電の安全性とリスクに関する懸念	Q185252	放射性廃棄物	放射性廃棄物	Q186161	放射線	放射線	none					
2_52	原子力発電の安全性とリスクに関する懸念	Q185252	放射性廃棄物	核廃棄物	Q186161	放射線	放射線	none					
2_54	国民参加型エネルギー政策の透明性と民主性の確保	Q1805337	エネルギー政策	エネルギー政策	Q7174	民主主義	民主性	none					
2_54	国民参加型エネルギー政策の透明性と民主性の確保	Q1805337	エネルギー政策	エネルギー政策	Q535347	透明性	透明性	none					
2_54	国民参加型エネルギー政策の透明性と民主性の確保	Q7174	民主主義	民主性	Q535347	透明性	透明性	none					
2_55	原発政策の見直しと国民の安全優先	Q134447	原子力発電所	原発	Q1888109	原子力安全	原子力安全	none					
2_55	原発政策の見直しと国民の安全優先	Q134447	原子力発電所	原発	Q1156854	政策	政策	none					
2_55	原発政策の見直しと国民の安全優先	Q1888109	原子力安全	原子力安全	Q1156854	政策	政策	none					
2_56	水素エネルギーの持続可能性と環境影響の評価	Q478859	水素エネルギー社会	水素エネルギー	Q219416	持続可能性	持続可能性	none					
2_56	水素エネルギーの持続可能性と環境影響の評価	Q478859	水素エネルギー社会	水素エネルギー	Q320389	環境アセスメント	環境影響の評価	none					
2_56	水素エネルギーの持続可能性と環境影響の評価	Q219416	持続可能性	持続可能性	Q320389	環境アセスメント	環境影響の評価	none					
2_57	原子力発電のリスクと安全性に関する懸念	Q17232373	原子力発電	原子力発電	Q1888109	原子力安全	安全性	none					
2_58	水素エネルギーとグリーン水素サイクルの推進	Q478859	水素エネルギー社会	水素エネルギー	Q99513382	グリーン水素	グリーン水素	none					
2_58	水素エネルギーとグリーン水素サイクルの推進	Q478859	水素エネルギー社会	水素エネルギー	Q2499580	水素循環	水素サイクル	none					
2_58	水素エネルギーとグリーン水素サイクルの推進	Q99513382	グリーン水素	グリーン水素	Q2499580	水素循環	水素サイクル	none					
2_59	原発と脱炭素政策の矛盾と制度見直しの必要性	Q134447	原子力発電所	原発	Q11693783	脱炭素化	脱炭素	none					
2_59	原発と脱炭素政策の矛盾と制度見直しの必要性	Q134447	原子力発電所	原発	Q178706	制度	制度	none					
2_59	原発と脱炭素政策の矛盾と制度見直しの必要性	Q11693783	脱炭素化	脱炭素	Q178706	制度	制度	none					
2_6	放射性廃棄物処理の不備と原発運用のリスク	Q185252	放射性廃棄物	放射性廃棄物	Q134447	原子力発電所	原発	none					
2_61	原発廃止と再生可能エネルギーへの移行	Q1189820	原子力撤廃	原発廃止	Q12705	再生可能エネルギー	再生可能エネルギー	none					
2_63	気候変動とエネルギー政策における健康と安全の優先	Q125928	気候変動	気候変動	Q1805337	エネルギー政策	エネルギー政策	none					
2_63	気候変動とエネルギー政策における健康と安全の優先	Q125928	気候変動	気候変動	Q12147	健康	健康	none					
2_63	気候変動とエネルギー政策における健康と安全の優先	Q125928	気候変動	気候変動	Q1888109	原子力安全	原子力安全	none					
2_63	気候変動とエネルギー政策における健康と安全の優先	Q1805337	エネルギー政策	エネルギー政策	Q12147	健康	健康	none					
2_63	気候変動とエネルギー政策における健康と安全の優先	Q1805337	エネルギー政策	エネルギー政策	Q1888109	原子力安全	原子力安全	none					
2_63	気候変動とエネルギー政策における健康と安全の優先	Q12147	健康	健康	Q1888109	原子力安全	原子力安全	none					
2_8	気候変動対策の緊急性と持続可能な社会への移行	Q125928	気候変動	気候変動	Q219416	持続可能性	持続可能性	none					
2_9	再生可能エネルギーと蓄電池による持続可能なエネルギーシステムの構築	Q12705	再生可能エネルギー	再生可能エネルギー	Q810924	battery storage power station	蓄電池	none					
2_9	再生可能エネルギーと蓄電池による持続可能なエネルギーシステムの構築	Q12705	再生可能エネルギー	再生可能エネルギー	Q4531977	エネルギーシステム	エネルギーシステム	none					
2_9	再生可能エネルギーと蓄電池による持続可能なエネルギーシステムの構築	Q810924	battery storage power station	蓄電池	Q4531977	エネルギーシステム	エネルギーシステム	none					
